Junction,Easting,Northing,Elevation,RiverKM
J_260,336320.49409,4017481.97566,507.92000,260
J_261,335417.26974,4017125.04198,507.23000,261
J_262,334806.30941,4016345.36518,506.40000,262
J_263,333847.84095,4016361.41041,505.98000,263
J_264,332921.27105,4016737.62821,505.60000,264
J_265,331966.14764,4016818.18678,505.38000,265
J_266,331257.84902,4016152.71231,503.75000,266
J_267,330967.84575,4015203.92037,503.48000,267
J_RM167_up,330289.21526,4014480.22894,503.27000,268
J_RM167_down,330059.12754,4014287.17610,503.23000,268.3
J_269,329484.18399,4013898.89628,501.94000,269
J_270,328533.64865,4013949.76053,501.27000,270
J_271,327654.37590,4014294.52867,500.75000,271
J_272,326892.27695,4013816.89785,499.11000,272
J_273,326526.55164,4012898.58801,498.63000,273
J_274,325641.94751,4012472.33167,498.37000,274
J_275,324661.64663,4012290.03128,497.53000,275
J_276,323750.30007,4011905.56121,497.28000,276
J_277,322803.15675,4011675.06937,494.63000,277
J_278,321830.73160,4011481.81999,493.66000,278
J_279,320874.82862,4011748.92965,493.07000,279
J_280,319974.06896,4012167.05949,492.42000,280
J_281,319039.49401,4012217.51118,491.67000,281
J_282,318153.70808,4011814.21179,489.05000,282
J_283,317279.74872,4011353.03532,488.29000,283
J_284,316527.05863,4010715.13250,487.14000,284
J_285,315967.40170,4009892.29584,486.52000,285
J_286,315401.40508,4009080.72308,484.44000,286
J_287,314441.48804,4008835.84039,483.66000,287
J_288,313554.19535,4008380.84273,483.59000,288
J_289,312710.80026,4007888.35948,483.52000,289
J_290,311804.05538,4007524.96052,477.25000,290
J_291,310949.22502,4007028.44392,474.47000,291
J_292,310110.24309,4006491.70258,471.99000,292
J_293,309488.85422,4005746.05267,471.06000,293
J_294,308856.68456,4004989.57790,468.96000,294
J_295,307952.87977,4004573.20951,467.70000,295
J_296,307248.90641,4005111.51642,466.53000,296
J_297,306316.70031,4005426.29652,464.86000,297
J_298,305404.85622,4005118.03201,463.25000,298
J_299,304835.99932,4004365.96211,461.85000,299
J_300,304003.53405,4003848.49322,461.26000,300
J_301,303071.79909,4003512.04380,460.90000,301
J_302,302208.72844,4003023.17448,460.47000,302
J_303,301980.94438,4002168.09053,459.03000,303
J_304,301612.71313,4001251.81870,456.96000,304
J_305,301674.51265,4000269.18127,455.19000,305
J_306,301828.29900,3999318.87119,453.30000,306
J_307,301127.48239,3998631.04607,452.90000,307
J_308,300490.03245,3997926.28518,450.49000,308
J_309,300054.72900,3997060.43300,449.79000,309
J_310,299527.37735,3996305.48614,449.10000,310
J_311,298560.78881,3996345.43916,448.39000,311
J_312,297661.78296,3996631.47096,446.20000,312
J_RM194_up,297246.22914,3996356.92265,445.84000,312.5
J_RM194_down,296996.95613,3996190.64694,445.23000,312.8
J_314,295928.84973,3996526.29395,443.58000,314
J_315,295110.25414,3997064.91915,441.93000,315
J_316,294139.94404,3997185.37715,440.25000,316
J_317,293215.17500,3997017.36278,438.85000,317
J_318,292324.07516,3997408.11781,438.60000,318
J_319,291393.51000,3997364.76061,437.57000,319
J_320,290824.59150,3996595.73748,437.09000,320
J_321,290561.85381,3995646.24251,434.06000,321
J_322,290371.87858,3994692.79082,432.89000,322
J_323,289853.30940,3993872.65759,431.89000,323
J_324,289130.06349,3993199.56384,431.39000,324
J_325,288454.64714,3992469.86348,429.70000,325
J_326,288052.74684,3991588.16852,428.76000,326
J_327,288037.43068,3990633.85949,428.34000,327
J_328,288167.34356,3989651.62154,427.72000,328
J_SpringCanyon_trib,288247.68108,3988665.03493,427.19000,329
J_330,288559.51871,3987755.01851,426.36000,330
J_331,288994.48646,3986928.64503,425.63000,331
J_332,289001.93758,3985984.90219,422.12000,332
J_333,289014.57196,3985001.07389,419.68000,333
J_334,289542.63725,3984176.94939,418.08000,334
J_335,290493.41965,3983918.89880,416.11000,335
J_336,291000.68279,3983103.14341,415.24000,336
J_337,291045.84203,3982197.37910,412.67000,337
J_338,290348.88842,3981520.18368,409.79000,338
J_339,289984.92937,3980651.92202,408.24000,339
J_340,290236.54756,3979700.15470,407.39000,340
J_341,290009.39412,3978783.11793,406.31000,341
J_342,289667.92776,3977859.93429,403.66000,342
J_343,289310.55131,3976953.79169,402.52000,343
J_344,289928.65429,3976215.27819,401.90000,344
J_345,290329.25302,3975342.12254,401.66000,345
J_346,291082.58046,3974766.99563,400.42000,346
J_347,291567.37042,3974000.69920,400.07000,347
J_348,291352.52339,3973028.95387,398.70000,348
J_349,291212.52196,3972056.55070,398.28000,349
J_350,291340.77550,3971103.33378,398.08000,350
J_351,290896.26509,3970235.82110,394.21000,351
J_352,290238.48687,3969494.38268,393.19000,352
J_353,289815.48137,3968607.53235,393.10000,353
J_354,289909.24561,3967647.34354,392.07000,354
J_355,289290.41348,3966916.13440,391.40000,355
J_356,289406.88724,3965976.48972,387.47000,356
J_357,289318.67240,3965051.71396,386.49000,357
J_358,288954.73675,3964176.80404,384.59000,358
J_359,288529.64196,3963337.77784,383.03000,359
J_360,287928.97949,3962588.44543,380.96000,360
J_361,287171.93280,3961941.69961,379.24000,361
J_RM225_up,286455.07479,3961420.58774,379.11000,361.9
J_RM225_down,286269.28165,3961346.25686,379.09000,362.1
J_Diamond_trib,285386.07534,3960613.88955,377.50000,363.3
